year,age,years_homeless,gender,race,education,has_dependents,mental_health,substance_use,outdoor_sleeping,chronic_homeless,shelter_type,youth,indigenous_flag,lgbtq,immigrant,foster_care_history,incarceration_history,no_income,housing_loss_income,housing_loss_health,income_type
2018,50.2,1.33,male,white,less_than_hs,0,1,1,1,1,outdoor,0,0,0,1,0,0,0,1,0,other
2018,41.3,23.58,male,white,less_than_hs,0,1,1,1,1,outdoor,0,0,0,0,1,0,0,1,0,welfare
2018,52.3,7.76,male,white,less_than_hs,0,1,1,1,1,outdoor,0,0,0,0,0,0,0,0,0,welfare
2018,64.6,11.18,male,white,less_than_hs,0,1,1,1,1,outdoor,0,0,0,0,0,1,0,1,0,disability
2018,40.0,1.11,male,white,less_than_hs,0,1,1,1,1,outdoor,0,0,0,1,0,0,0,1,0,welfare
2018,40.0,4.78,male,white,less_than_hs,0,1,1,0,1,respite,0,0,0,1,1,0,0,0,0,welfare
2018,35.1,1.73,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,1,0,0,0,0,0,welfare
2018,35.9,5.62,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,1,0,0,0,0,0,other
2018,35.3,1.19,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,0,1,1,0,0,0,disability
2018,30.3,30.0,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,0,0,0,0,0,0,employment
2018,15.0,2.77,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,1,0,1,0,1,0,0,1,1,disability
2018,56.6,9.5,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,1,0,0,0,1,0,welfare
2018,54.7,3.26,male,white,less_than_hs,0,1,1,0,1,other,0,0,0,0,0,0,0,0,0,welfare
2018,21.9,6.05,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,1,0,0,1,0,1,0,0,0,employment
2018,37.3,6.56,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,0,0,0,0,1,0,disability
2018,32.9,2.17,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,0,1,0,0,0,0,disability
2018,33.4,30.0,male,white,less_than_hs,0,1,1,0,1,emergency_shelter,0,0,0,0,0,1,0,0,0,disability
