year,age,years_homeless,gender,race,education,has_dependents,mental_health,substance_use,outdoor_sleeping,chronic_homeless,shelter_type,youth,indigenous_flag,lgbtq,immigrant,foster_care_history,incarceration_history,no_income,housing_loss_income,housing_loss_health,income_type
2013,51.6,1.36,male,indigenous,less_than_hs,1,0,0,0,1,emergency_shelter,0,1,1,0,0,0,0,1,0,disability
2013,42.7,1.36,male,indigenous,less_than_hs,1,0,0,0,1,emergency_shelter,0,1,0,1,0,0,0,0,0,welfare
2013,53.7,1.12,male,indigenous,less_than_hs,1,0,0,0,1,emergency_shelter,0,1,0,0,0,0,0,1,0,welfare
2013,65.9,9.47,male,indigenous,less_than_hs,1,0,0,0,1,other,0,1,0,0,0,0,0,0,0,welfare
2013,38.0,1.78,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,0,1,0,1,1,1,0,welfare
2013,52.2,2.07,male,indigenous,less_than_hs,0,1,1,0,1,other,0,1,0,1,0,0,0,0,0,disability
2013,38.1,2.5,male,indigenous,less_than_hs,0,1,1,0,1,other,0,1,0,0,0,0,1,0,0,welfare
2013,38.1,6.36,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,0,0,0,0,0,0,0,disability
2013,48.0,1.48,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,1,0,1,0,0,1,0,employment
2013,17.8,2.85,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,1,1,0,0,0,1,0,0,1,other
2013,20.5,3.46,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,1,1,0,1,1,0,0,0,0,welfare
2013,36.7,1.1,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,0,0,0,1,0,0,0,other
2013,30.4,3.6,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,0,0,0,0,0,1,0,disability
2013,49.0,1.4,male,indigenous,less_than_hs,0,1,1,0,1,emergency_shelter,0,1,0,0,0,0,0,0,0,welfare
2013,53.1,4.19,male,indigenous,less_than_hs,0,1,1,0,0,respite,0,1,0,0,0,0,0,1,0,disability
2013,24.5,1.79,male,indigenous,less_than_hs,0,1,1,0,0,emergency_shelter,1,1,0,1,0,0,0,1,0,welfare
